1,-0.0,0.0,0
2,-4.84426127853,-11.2962005351,12
3,-8.22899052143,-19.8480701549,21
4,3.30539893293,-21.8946280985,33
5,19.4676537776,-24.3553879812,49
6,35.6299298356,-26.8160983667,65
7,51.7922271068,-29.2767451124,82
8,67.95453852,-31.7373494314,98
9,75.3241821702,-33.1287163738,106
10,73.2621032327,-38.7463120549,112
11,69.2800172525,-44.5265988639,119
12,65.2979171299,-50.3068856736,126
13,75.623931806,-52.3548719726,136
14,89.4978264721,-54.9085244734,150
15,103.371735281,-57.4621345476,164
16,101.112076566,-63.6004295202,171
17,98.8524249231,-69.7387174217,177
18,96.8170604802,-74.2453069278,182
19,92.3027917939,-80.8770210124,190
20,87.8478776511,-88.2092375007,199
21,83.0486307902,-97.1833135084,209
22,78.0517475838,-106.678074666,220
23,73.0196575309,-117.183722748,232
24,72.0506666821,-127.143463183,242
25,79.336433326,-136.10131109,253
26,90.9631355707,-140.659604244,266
27,105.936807556,-140.499395061,281
28,121.412525356,-134.853833307,297
29,133.68712126,-124.238322043,313
30,142.417528271,-108.883526574,331
31,151.147878713,-93.5286886784,349
32,154.665947081,-79.4219083939,363
33,144.081944496,-68.6269617139,378
34,126.28437087,-63.9869623711,397
35,108.377471464,-66.6132700933,415
36,90.9391010111,-81.8997166211,438
37,80.1829886356,-100.449927634,459
38,74.4563217333,-111.31682243,472
39,61.155586611,-109.82329977,485
40,45.9785012181,-107.581601568,500
41,30.8014370382,-105.339853869,516
42,15.6243870004,-103.098063743,531
43,0.447351105118,-100.856231191,546
44,-14.729663577,-98.614349141,562
45,-29.9066641174,-96.3724105226,577
46,-45.0836505154,-94.1304294781,592
47,-60.2606086291,-91.888406007,608
48,-75.4375596718,-89.6463330383,623
49,-90.6145036434,-87.4042105723,638
50,-105.791419331,-85.1620456798,654
51,-102.96010721,-72.9278679996,666
52,-96.5105084773,-59.1776604514,682
53,-88.0294131753,-45.1545308988,698
54,-79.5483602996,-31.1313589203,714
55,-74.0347870969,-19.1738084836,727
56,-66.6944883781,-5.95274308187,743
57,-58.3597005405,-1.61807244753,752
58,-42.5829815257,-3.80931858061,768
59,-30.4147274108,-6.20542769062,780
60,-22.7497111158,-12.5108332084,790
61,-20.5838218316,-15.2503557975,794
62,-20.6020793288,-16.461431724,795
63,-22.4809893257,-18.5357011823,798
64,-28.0192688393,-20.2144363204,804
65,-36.1623246736,-21.1058999814,812
66,-39.6892884453,-16.5665997152,817
67,-37.7908128036,-11.8700318302,823
68,-33.366466887,-9.88250316066,827
69,-27.5712459826,-8.38359234782,833
70,-23.0099476245,-6.58603498624,838
71,-17.4729904007,-6.31850820673,844
72,-11.2851625985,-6.60060845699,850
