marker,x_offseted[m],y_offseted[m],distance[m]
1,0.0,0.0,0
2,-10.3432062,-3.731934738,10
3,-23.0601938,-7.463645997,24
4,-28.1466232,-5.175202549,29
5,-32.2151646,2.772800809,38
6,-36.1138437,13.731252051,50
7,-40.0125108,24.689713135,62
8,-43.9111657,35.648184059,73
9,-47.8098086,46.606664825,85
10,-51.7084394,57.565155429,96
11,-55.6070581,68.523655877,108
12,-58.8279859,74.424511336,115
13,-65.6103741,72.980214721,122
14,-72.9016542,69.488850568,130
15,-80.7015691,66.358791389,138
16,-87.1450009,63.589839779,145
17,-91.7223176,70.213374025,153
18,-95.1122166,81.653552102,165
19,-100.1976015,93.696020634,178
20,-105.2834126,101.764667866,188
21,-115.7963172,98.273666482,199
22,-126.3091802,95.264334827,210
23,-136.8220547,92.254995887,221
24,-147.3349408,89.245649658,232
25,-157.8478385,86.23629614,243
26,-169.0391879,81.300286589,255
27,-182.0957529,75.762363284,269
28,-191.4220625,70.10360438,280
29,-189.8970613,60.469807166,290
30,-184.811616,48.065972688,303
31,-178.5394472,33.735306344,319
32,-172.6065088,18.080072877,335
33,-166.6735462,2.424860801,352
34,-160.7405594,-13.230329881,369
35,-154.8075484,-28.885499172,386
36,-148.5353983,-44.540678819,403
37,-142.2632244,-60.19583585,419
38,-135.9910268,-75.850970266,436
39,-129.7188054,-91.506082071,453
40,-123.4465604,-107.161171258,470
41,-120.9036307,-112.098589329,476
42,-109.3736093,-110.293289398,487
43,-95.3000368,-105.959412212,502
44,-80.548113,-99.939743353,518
45,-65.7962098,-93.920094945,534
46,-51.0443273,-87.900466991,550
47,-36.2924655,-81.880859486,566
48,-26.1188498,-78.510059795,576
49,-11.3670669,-72.972157333,592
50,3.3846946,-67.434273684,608
51,14.4060307,-64.184001383,619
52,13.5589553,-56.597614699,627
53,9.82954,-48.168034551,636
54,6.10013129999,-39.73844716,646
55,2.7099875,-29.74345395,656
56,-0.6801462,-19.748452936,667
