marker,x_rotated,y_rotated
1,0.0,0.0,0
2,-5.778248011,-18.3124748,19
3,-9.871097131,-32.2163851,33
4,1.448713056,-37.3019244,46
5,17.344568392,-43.7434334,63
6,33.240447309,-50.1849181,80
7,49.136349809,-56.6263784,97
8,65.032275895,-63.0678144,114
9,72.257754284,-66.4581566,122
10,69.729943601,-75.6144446,132
11,65.275425617,-84.7709468,142
12,60.82089824,-93.9274564,152
13,70.936621373,-98.8435122,163
14,84.544658451,-105.115632,178
15,98.152715186,-111.3877349,193
16,95.384173242,-121.391888,204
17,92.615624916,-131.3960516,214
18,90.208032328,-138.687271,222
19,85.151552465,-149.2003742,233
20,80.095188849,-160.9003902,246
21,74.557423213,-175.3133964,262
22,68.778889212,-190.5742394,278
23,62.880094546,-207.5307029,296
24,61.075548406,-224.1476442,313
25,67.579992462,-240.2550556,330
26,78.78015625,-249.5796099,344
27,93.712584637,-251.4431356,360
28,109.607366802,-244.150326,377
29,122.73144194,-228.0407398,398
30,132.723562709,-203.4535962,424
31,142.715626897,-178.8665102,451
32,147.409319037,-155.6365578,475
33,137.773470695,-135.9690216,496
34,120.431883011,-125.6280183,517
35,102.369173793,-127.4951652,535
36,83.706681109,-150.7265479,565
37,71.427045483,-180.4004708,597
38,64.805794472,-197.8656683,615
39,51.679503603,-193.458541,629
40,36.746763692,-187.5255596,645
41,21.814044187,-181.5925565,661
42,6.881345088,-175.6595318,677
43,-8.051333607,-169.7264855,694
44,-22.983991898,-163.7934175,710
45,-37.916629783,-157.8603279,726
46,-52.849247264,-151.9272166,742
47,-67.781844343,-145.9940836,758
48,-82.714421015,-140.060929,774
49,-97.646977282,-134.1277528,790
50,-112.579513144,-128.1945549,806
51,-108.727835735,-108.0169659,827
52,-101.143367685,-85.8044222,850
53,-91.511837607,-63.4221914,874
54,-81.880357174,-41.0400072,899
55,-75.379517456,-21.7101407,919
56,-66.952193346,-0.515036600002,942
57,-58.282682215,5.5897196,953
58,-42.748250697,-0.343237699999,969
59,-30.826347674,-6.1069623,982
60,-23.720571755,-17.8055569,996
61,-21.793409986,-22.7224627,1001
62,-21.913631614,-24.7571338,1003
63,-23.960428125,-27.9788761,1007
64,-29.619883558,-30.0140799,1013
65,-37.808283171,-30.3539692,1021
66,-40.939921951,-22.2156251,1030
67,-38.652701581,-14.5854408,1038
68,-34.077079442,-11.8721308,1043
69,-28.176766633,-10.1760205,1050
70,-23.480699616,-7.801804,1055
71,-17.941447673,-8.1403779,1060
72,-11.800006844,-9.4962175,1067
